@relation 'student-grades-data'
@attribute 'Q01' real
@attribute 'Q02' real
@attribute 'Q03' real
@attribute 'Q04' real
@attribute 'Q05' real
@attribute 'Q06' real
@attribute 'Q07' real
@attribute 'Q08' real
@attribute 'A01' real
@attribute 'A02' real
@attribute 'A03' real
@attribute 'A04' real
@attribute 'A05' real
@attribute 'M.E' real
@attribute 'F.E' real
@attribute class {A,B,C,D}
@data
100,100,100,90,100,100,10,100,100,82.22,100,100.00,100,89.67,93.00,A
100,100,100,100,90,100,10,90,100,93.33,94,97.78,90,92.17,92.50,A
100,100,100,90,90,100,10,96.67,100,91.11,96,100.00,100,88.67,93.00,A
100,100,100,100,80,100,10,100,100,82.22,100,100.00,100,87.17,94.50,A
100,100,100,100,70,100,10,80,100,86.67,90,93.33,100,96.50,90.50,A
100,100,100,100,70,100,10,80,100,100.00,100,100.00,95,88.00,92.00,A
100,100,100,100,80,100,10,86.67,100,73.33,100,100.00,100,94.33,85.00,A
100,100,100,90,80,100,10,86.67,100,100.00,94,100.00,90,87.33,91.00,A
100,100,100,90,70,100,10,85,100,97.78,100,100.00,100,89.00,87.00,A
100,100,100,90,80,100,10,84.17,100,97.78,100,100.00,100,82.00,91.50,A
70,100,100,100,70,100,10,85,75,97.78,92,100.00,100,93.33,89.50,A
100,100,90,80,90,100,10,86.67,100,100.00,100,100.00,100,86.50,86.50,A
100,100,100,80,60,100,10,76.67,100,88.89,98,100.00,100,94.00,82.50,A
0,100,100,100,90,100,10,81.67,100,97.78,100,100.00,95,88.00,92.75,A
100,100,100,80,70,100,10,79.17,100,100.00,94,100.00,90,88.17,87.00,A
80,100,100,100,70,100,10,90,100,86.67,82,100.00,100,84.67,91.50,A
90,100,100,80,80,100,10,86.67,100,97.78,100,100.00,100,75.00,94.50,A
90,100,100,90,70,100,10,90,100,100.00,88,100.00,100,91.00,79.50,A
90,100,100,?,80,100,10,100,100,84.44,92,95.56,100,80.17,88.50,A
100,100,100,90,80,100,10,100,100,88.89,84,100.00,100,74.67,93.00,A
100,100,100,70,80,100,10,89.17,100,100.00,94,100.00,100,77.17,90.00,A
100,100,100,70,60,100,10,80,100,97.78,100,100.00,100,77.83,92.00,A
100,100,96.67,100,80,100,10,100,100,82.22,100,100.00,90,77.50,89.00,A
100,100,100,80,70,100,10,0,100,86.67,100,100.00,100,86.17,93.00,A
100,100,100,90,70,100,10,90,100,88.89,84,83.33,90,85.67,88.50,A
100,100,100,90,100,100,10,66.67,100,77.78,90,100.00,100,80.17,88.50,A
100,100,100,80,90,100,10,86.67,100,88.89,100,100.00,100,89.00,75.38,A
90,100,86.67,0,63.33,100,10,90,100,88.89,94,100.00,100,85.67,93.00,B
100,100,100,70,70,100,10,96.67,100,97.78,100,100.00,100,76.33,86.00,B
100,100,100,80,70,100,10,90,100,84.44,100,100.00,100,79.67,84.50,B
100,100,100,80,80,100,10,80,100,66.67,88,100.00,100,84.17,84.50,B
60,100,100,80,70,100,10,86.67,100,93.33,100,100.00,100,82.00,84.00,B
100,100,100,100,70,100,10,90,75,97.78,100,100.00,95,78.00,84.38,B
100,100,100,100,70,100,10,85,100,80.00,100,100.00,100,78.17,81.75,B
